,Winner,Dog,Dog_Record,Winner_Odds,Fav_Record,percent,percent2,Fav_Games,Dog_Games,Fav_Odds,Fav,Sex,Winx
1493,Michael Mmoh,Ulises Blanch,30%,1.29,85%,0.8461538461538461,0.3,13,10,1.29,Michael Mmoh,Mens,Fav
1494,Hoang Ly Nam,Hoang Ly Nam,50%,2.54,80%,0.8,0.5,10,6,1.49,Hsiou Hsu Yu,Mens,Dog
1495,Tennys Sandgren,Zachary Svajda,60%,1.55,36%,0.36363636363636365,0.6,11,5,1.55,Tennys Sandgren,Mens,Fav
1496,Christopher Eubanks,Strong Kirchheimer,17%,1.14,73%,0.7272727272727273,0.16666666666666666,11,6,1.14,Christopher Eubanks,Mens,Fav
1497,Aleksandar Vukic,Charles Broom,0%,1.27,73%,0.7272727272727273,0.0,11,5,1.27,Aleksandar Vukic,Mens,Fav
1498,Ben Shelton,Mitchell Krueger,33%,1.25,83%,0.8333333333333334,0.3333333333333333,12,21,1.25,Ben Shelton,Mens,Fav
1499,Harold Mayot,Michail Pervolarakis,33%,1.24,40%,0.4,0.3333333333333333,10,6,1.24,Harold Mayot,Mens,Fav
1500,Antoine Escoffier,Gabriel Decamps,44%,1.6,60%,0.6,0.4444444444444444,10,9,1.6,Antoine Escoffier,Mens,Fav
1501,Aleksandar Kovacevic,Inaki Montes De La Torre,20%,1.65,90%,0.9,0.2,10,5,1.65,Aleksandar Kovacevic,Mens,Fav
1502,Stefan Kozlov,Prajnesh Gunneswaran,30%,1.43,70%,0.7,0.3,10,10,1.43,Stefan Kozlov,Mens,Fav
1503,Jason Jung,Li Tu,67%,1.84,47%,0.4666666666666667,0.6666666666666666,15,6,1.84,Jason Jung,Mens,Fav
1504,David Ionel Nicholas,David Ionel Nicholas,33%,2.27,50%,0.5,0.3333333333333333,10,6,1.59,Frederico Ferreira Silva,Mens,Dog
1505,Chan Hong Seong,Nino Serdarusic,40%,1.77,50%,0.5,0.4,10,5,1.77,Chan Hong Seong,Mens,Fav
1506,Gabriel Diallo,Juan Pablo Ficovich,71%,1.3,50%,0.5,0.7142857142857143,10,7,1.3,Gabriel Diallo,Mens,Fav
1507,Shintaro Mochizuki,Damir Dzumhur,50%,1.6,36%,0.36363636363636365,0.5,11,6,1.6,Shintaro Mochizuki,Mens,Fav
1508,Norbert Gombos,Henri Squire,17%,1.25,90%,0.9,0.16666666666666666,10,6,1.25,Norbert Gombos,Mens,Fav
1509,Pavel Kotov,Pablo Andujar,67%,1.25,47%,0.4666666666666667,0.6666666666666666,15,6,1.25,Pavel Kotov,Mens,Fav
1510,Arthur Fils,Arthur Fils,50%,1.95,30%,0.3,0.5,10,6,1.8,Dimitar Kuzmanov,Mens,Dog
1511,Henri Laaksonen,Fernando Verdasco,45%,1.71,50%,0.5,0.45454545454545453,20,11,1.71,Henri Laaksonen,Mens,Fav
1512,Luca Van Assche,Nikolas Sanchez Izquierdo,20%,1.21,46%,0.46153846153846156,0.2,13,5,1.21,Luca Van Assche,Mens,Fav
1513,Cem Ilkel,Illya Marchenko,44%,1.56,90%,0.9,0.4444444444444444,10,9,1.56,Cem Ilkel,Mens,Fav
1514,Tim Van Rijthoven,Viktor Durasovic,40%,1.2,75%,0.75,0.4,12,5,1.2,Tim Van Rijthoven,Mens,Fav
1515,Fabian Marozsan,Fabian Marozsan,60%,2.11,64%,0.64,0.6,25,5,1.68,Jurij Rodionov,Mens,Dog
1516,Tomas Machac,Stefano Travaglia,38%,1.36,82%,0.8181818181818182,0.375,11,8,1.36,Tomas Machac,Mens,Fav
1517,Alexei Popyrin,Alibek Kachmazov,20%,1.45,70%,0.7,0.2,10,5,1.45,Alexei Popyrin,Mens,Fav
1518,Vasek Pospisil,Evan Zhu,20%,1.1,73%,0.7272727272727273,0.2,11,5,1.1,Vasek Pospisil,Mens,Fav
1519,Inaki Montes De La Torre,Sebastian Fanselow,56%,1.41,60%,0.6,0.5555555555555556,10,9,1.41,Inaki Montes De La Torre,Mens,Fav
1520,Alfredo Perez,Edan Leshem,20%,1.75,60%,0.6,0.2,10,5,1.75,Alfredo Perez,Mens,Fav
1521,Paul Jubb,Ernesto Escobedo,74%,1.55,40%,0.4,0.7368421052631579,10,19,1.55,Paul Jubb,Mens,Fav
1522,Strong Kirchheimer,Gage Brymer,60%,1.57,50%,0.5,0.6,10,5,1.57,Strong Kirchheimer,Mens,Fav
1523,Ben Shelton,Keegan Smith,0%,1.17,75%,0.75,0.0,12,5,1.17,Ben Shelton,Mens,Fav
1524,Michael Mmoh,Alexander Bernard,40%,1.07,82%,0.8181818181818182,0.4,11,5,1.07,Michael Mmoh,Mens,Fav
1525,Zachary Svajda,Adam Walton,40%,1.55,58%,0.5833333333333334,0.4,12,5,1.55,Zachary Svajda,Mens,Fav
1526,Christopher Eubanks,Nicolas Alvarez Varona,20%,1.27,73%,0.7333333333333333,0.2,15,5,1.27,Christopher Eubanks,Mens,Fav
1527,Tennys Sandgren,Tennys Sandgren,36%,2.27,73%,0.7272727272727273,0.36363636363636365,11,11,1.59,Emilio Nava,Mens,Dog
1528,Kaichi Uchida,Kaichi Uchida,50%,1.97,50%,0.5,0.5,10,6,1.79,Sho Shimabukuro,Mens,Dog
1529,Gabriel Decamps,Johannes Haerteis,40%,1.43,93%,0.9285714285714286,0.4,14,5,1.43,Gabriel Decamps,Mens,Fav
1530,Hsiou Hsu Yu,Benoit Paire,67%,1.76,78%,0.7777777777777778,0.6666666666666666,9,6,1.76,Hsiou Hsu Yu,Mens,Fav
1531,Alexis Galarneau,Maximilian Neuchrist,40%,1.51,71%,0.7142857142857143,0.4,14,5,1.51,Alexis Galarneau,Mens,Fav
1532,Valentin Royer,Valentin Royer,20%,2.18,73%,0.7272727272727273,0.2,11,5,1.64,Manuel Guinard,Mens,Dog
1533,Fernando Verdasco,Giovanni Mpetshi Perricard,20%,1.63,80%,0.8,0.2,10,5,1.63,Fernando Verdasco,Mens,Fav
1534,Hugo Gaston,Alexandar Lazarov,60%,1.44,70%,0.7,0.6,10,5,1.44,Hugo Gaston,Mens,Fav
1535,Ugo Blanchet,Ugo Blanchet,40%,2.69,82%,0.8181818181818182,0.4,11,5,1.43,Gijs Brouwer,Mens,Dog
1536,Pablo Andujar,Pablo Andujar,40%,2.54,40%,0.4,0.4,10,5,1.48,Leandro Riedi,Mens,Dog
1537,Mathias Bourgue,Denis Yevseyev,55%,1.6,64%,0.6363636363636364,0.5454545454545454,11,11,1.6,Mathias Bourgue,Mens,Fav
1538,Jay Clarke,Nikolas Sanchez Izquierdo,20%,1.65,50%,0.5,0.2,12,5,1.65,Jay Clarke,Mens,Fav
1539,Nikoloz Basilashvili,Antoine Hoang,14%,1.6,50%,0.5,0.14285714285714285,10,7,1.6,Nikoloz Basilashvili,Mens,Fav
1540,Otto Virtanen,Otto Virtanen,62%,2.09,61%,0.6071428571428571,0.625,28,8,1.7,Hugo Grenier,Mens,Dog
1541,Tim Van Rijthoven,Alexander Shevchenko,36%,1.55,50%,0.5,0.36363636363636365,18,11,1.55,Tim Van Rijthoven,Mens,Fav
1542,Jozef Kovalik,Jozef Kovalik,25%,1.94,58%,0.5833333333333334,0.25,12,8,1.8,Vit Kopriva,Mens,Dog
1543,Geoffrey Blancaneaux,Geoffrey Blancaneaux,0%,2.25,50%,0.5,0.0,10,8,1.59,Zsombor Piros,Mens,Dog
1544,Yannick Hanfmann,Yannick Hanfmann,60%,2.22,20%,0.2,0.6,10,5,1.62,Marton Fucsovics,Mens,Dog
1545,Michail Pervolarakis,Malek Jaziri,33%,1.51,43%,0.42857142857142855,0.3333333333333333,14,6,1.51,Michail Pervolarakis,Mens,Fav
1546,Aleksandar Vukic,Benjamin Lock,20%,1.16,64%,0.6363636363636364,0.2,11,5,1.16,Aleksandar Vukic,Mens,Fav
1547,Lukas Klein,Hamad Medjedovic,0%,1.34,90%,0.9,0.0,10,5,1.34,Lukas Klein,Mens,Fav
1548,Valentin Vacherot,Michael Geerts,20%,1.67,60%,0.6,0.2,10,5,1.67,Valentin Vacherot,Mens,Fav
1549,Shintaro Mochizuki,Filip Cristian Jianu,14%,1.67,42%,0.4166666666666667,0.14285714285714285,12,7,1.67,Shintaro Mochizuki,Mens,Fav
1550,Sho Shimabukuro,Zdenek Kolar,40%,1.5,40%,0.4,0.4,10,5,1.5,Sho Shimabukuro,Mens,Fav
1551,Benoit Paire,Dane Sweeny,40%,1.71,54%,0.5384615384615384,0.4,13,5,1.71,Benoit Paire,Mens,Fav
1552,David Ionel Nicholas,David Ionel Nicholas,20%,1.89,50%,0.5,0.2,10,5,1.83,Yuta Shimizu,Mens,Dog
1553,Nino Serdarusic,Nino Serdarusic,17%,3.15,60%,0.6,0.16666666666666666,10,6,1.33,Rinky Hijikata,Mens,Dog
1554,Alfredo Perez,Omni Kumar,20%,1.5,60%,0.6,0.2,10,5,1.5,Alfredo Perez,Mens,Fav
1555,Jason Jung,Jason Jung,46%,2.51,70%,0.7,0.46153846153846156,10,13,1.49,Yosuke Watanuki,Mens,Dog
1556,Johannes Haerteis,Johannes Haerteis,40%,4.12,70%,0.7,0.4,10,5,1.2,Alafia Ayeni,Mens,Dog
1557,Maximilian Neuchrist,Aidan Mayo,20%,1.4,60%,0.6,0.2,10,5,1.4,Maximilian Neuchrist,Mens,Fav
1558,Cannon Kingsley,Kiranpal Pannu,40%,1.27,70%,0.7,0.4,10,5,1.27,Cannon Kingsley,Mens,Fav
1559,Mathias Bourgue,Denis Yevseyev,60%,1.63,60%,0.6,0.6,10,10,1.63,Mathias Bourgue,Mens,Fav
1560,Caroline Garcia,Caroline Garcia,48%,1.99,52%,0.5161290322580645,0.4827586206896552,31,29,1.84,Aryna Sabalenka,Womens,Dog
1561,Damir Dzumhur,Ergi Kirkin,0%,1.44,50%,0.5,0.0,10,5,1.44,Damir Dzumhur,Mens,Fav
1562,Michail Pervolarakis,Michail Pervolarakis,57%,2.42,30%,0.3,0.5714285714285714,10,7,1.5,Liam Draxl,Mens,Dog
1563,Frederico Ferreira Silva,Naoki Nakagawa,29%,1.29,40%,0.4,0.2857142857142857,10,7,1.29,Frederico Ferreira Silva,Mens,Fav
1564,Chan Hong Seong,Sasi Kumar Mukund,56%,1.68,50%,0.5,0.5555555555555556,10,9,1.68,Chan Hong Seong,Mens,Fav
1565,Aleksandar Kovacevic,Ethan Quinn,40%,1.39,60%,0.6,0.4,10,5,1.39,Aleksandar Kovacevic,Mens,Fav
1566,Enzo Couacaud,Ezekiel Clark,0%,1.18,80%,0.8,0.0,10,5,1.18,Enzo Couacaud,Mens,Fav
1567,Alibek Kachmazov,Maxime Janvier,40%,1.76,55%,0.5454545454545454,0.4,11,5,1.76,Alibek Kachmazov,Mens,Fav
1568,Arthur Fils,Adrian Andreev,75%,1.71,40%,0.4,0.75,10,8,1.71,Arthur Fils,Mens,Fav
1569,Luca Van Assche,Luca Van Assche,25%,2.02,40%,0.4,0.25,10,8,1.73,Jason Kubler,Mens,Dog
1570,Alexei Popyrin,Alexey Vatutin,20%,1.39,50%,0.5,0.2,10,5,1.39,Alexei Popyrin,Mens,Fav
1571,Henri Laaksonen,Henri Laaksonen,50%,1.94,40%,0.4,0.5,10,14,1.79,Antoine Bellier,Mens,Dog
1572,Dimitar Kuzmanov,Dimitar Kuzmanov,33%,3.67,80%,0.8,0.3333333333333333,15,6,1.25,Radu Albot,Mens,Dog
1573,Fabian Marozsan,Fabian Marozsan,40%,2.57,36%,0.36363636363636365,0.4,11,5,1.47,Jan Lennard Struff,Mens,Dog
1574,Jurij Rodionov,Lukas Rosol,38%,1.44,62%,0.625,0.375,24,8,1.44,Jurij Rodionov,Mens,Fav
1575,Stefano Travaglia,Stefano Travaglia,50%,2.12,55%,0.5454545454545454,0.5,11,10,1.67,Altug Celikbilek,Mens,Dog
1576,Cem Ilkel,Cem Ilkel,53%,1.98,60%,0.6,0.5333333333333333,10,15,1.76,Zizou Bergs,Mens,Dog
1577,Pavel Kotov,Alexander Ritschard,33%,1.52,50%,0.5,0.3333333333333333,14,6,1.52,Pavel Kotov,Mens,Fav
1578,Illya Marchenko,Illya Marchenko,38%,3.31,36%,0.36363636363636365,0.375,11,16,1.3,Zhizhen Zhang,Mens,Dog
1579,Harold Mayot,Harold Mayot,18%,2.35,67%,0.6666666666666666,0.18181818181818182,15,11,1.55,Emilio Gomez,Mens,Dog
1580,Dominik Koepfer,Nick Chappell,25%,1.16,60%,0.6,0.25,10,8,1.16,Dominik Koepfer,Mens,Fav
1581,Juan Pablo Ficovich,Aziz Dougaz,0%,1.86,50%,0.5,0.0,10,5,1.86,Juan Pablo Ficovich,Mens,Fav
1582,Tomas Machac,Ryan Peniston,29%,1.36,44%,0.4444444444444444,0.2857142857142857,18,7,1.36,Tomas Machac,Mens,Fav
1583,Liam Broady,Flavio Cobolli,31%,1.41,65%,0.6470588235294118,0.3076923076923077,34,13,1.41,Liam Broady,Mens,Fav
1584,Antoine Escoffier,Justin Boulais,40%,1.62,70%,0.7,0.4,10,5,1.62,Antoine Escoffier,Mens,Fav
1585,Denis Yevseyev,Calvin Hemery,0%,1.65,55%,0.5454545454545454,0.0,11,5,1.65,Denis Yevseyev,Mens,Fav
1586,Jason Jung,Sung Nam Ji,80%,1.84,50%,0.5,0.8,10,5,1.84,Jason Jung,Mens,Fav
1587,Ergi Kirkin,Ergi Kirkin,20%,1.85,42%,0.4166666666666667,0.2,12,5,1.84,Naoki Nakagawa,Mens,Dog
1588,Maxime Janvier,Jules Marie,80%,1.84,36%,0.36363636363636365,0.8,11,5,1.84,Maxime Janvier,Mens,Fav
1589,Chan Hong Seong,Shinji Hazawa,0%,1.26,60%,0.6,0.0,10,5,1.26,Chan Hong Seong,Mens,Fav
1590,Alexandar Lazarov,Mark Lajal,60%,1.27,80%,0.8,0.6,10,5,1.27,Alexandar Lazarov,Mens,Fav
1591,Henri Squire,Henri Squire,50%,2.18,33%,0.3333333333333333,0.5,6,6,1.61,Oleksii Krutykh,Mens,Dog
1592,Alibek Kachmazov,Kenny De Schepper,62%,1.78,50%,0.5,0.625,10,8,1.78,Alibek Kachmazov,Mens,Fav
1593,Titouan Droguet,Maxime Janvier,17%,1.56,50%,0.5,0.16666666666666666,10,6,1.56,Titouan Droguet,Mens,Fav
1594,Clement Tabur,Clement Tabur,33%,2.63,30%,0.3,0.3333333333333333,10,6,1.43,Antoine Hoang,Mens,Dog
1595,Caroline Garcia,Caroline Garcia,44%,2.32,56%,0.5609756097560976,0.4444444444444444,41,27,1.62,Maria Sakkari,Womens,Dog
1596,Aryna Sabalenka,Aryna Sabalenka,50%,5.33,79%,0.7884615384615384,0.5,52,30,1.16,Iga Swiatek,Womens,Dog
1597,Caty Mcnally,Anna Lena Friedsam,46%,1.4,75%,0.75,0.46153846153846156,12,13,1.4,Caty Mcnally,Womens,Fav
1598,Maximilian Marterer,Maximilian Marterer,47%,2.05,50%,0.5,0.4666666666666667,10,15,1.72,Jelle Sels,Mens,Dog
1599,Stefano Travaglia,Stefano Travaglia,60%,2.01,60%,0.6,0.6,10,5,1.72,Andrew Paulson,Mens,Dog
1600,Antoine Hoang,Clement Tabur,33%,1.43,30%,0.3,0.3333333333333333,10,6,1.43,Antoine Hoang,Mens,Fav
1601,Maxime Janvier,Maxime Janvier,17%,2.26,50%,0.5,0.16666666666666666,10,6,1.56,Titouan Droguet,Mens,Dog
1602,Caroline Garcia,Caroline Garcia,44%,2.32,54%,0.5384615384615384,0.4444444444444444,39,27,1.62,Maria Sakkari,Womens,Dog
1603,Caty Mcnally,Anna Lena Friedsam,38%,1.4,75%,0.75,0.38461538461538464,12,13,1.4,Caty Mcnally,Womens,Fav
1604,Valentin Royer,Valentin Royer,80%,2.57,80%,0.8,0.8,10,5,1.45,Arthur Cazaux,Mens,Dog
1605,Patrick Kypson,Roy Smith,0%,1.35,50%,0.5,0.0,10,5,1.35,Patrick Kypson,Mens,Fav
1606,Jelle Sels,Maximilian Marterer,47%,1.72,50%,0.5,0.4666666666666667,10,15,1.72,Jelle Sels,Mens,Fav
1607,Ryan Peniston,Ryan Peniston,17%,3.09,47%,0.47058823529411764,0.16666666666666666,17,6,1.34,Tomas Machac,Mens,Dog
1608,Ben Shelton,Christopher Eubanks,72%,1.61,73%,0.7272727272727273,0.72,11,25,1.61,Ben Shelton,Mens,Fav
1609,Kaichi Uchida,Yasutaka Uchiyama,27%,1.71,50%,0.5,0.2727272727272727,10,11,1.71,Kaichi Uchida,Mens,Fav
1610,Li Tu,Ramkumar Ramanathan,33%,1.69,50%,0.5,0.3333333333333333,10,18,1.69,Li Tu,Mens,Fav
1611,Otto Virtanen,Otto Virtanen,33%,2.5,40%,0.4,0.3333333333333333,10,9,1.49,Jan Lennard Struff,Mens,Dog
1612,Henri Squire,Aldin Setkic,70%,1.59,70%,0.7,0.7,10,10,1.59,Henri Squire,Mens,Fav
1613,Illya Marchenko,Karl Friberg,60%,1.61,50%,0.5,0.6,10,5,1.61,Illya Marchenko,Mens,Fav
1614,Viktor Durasovic,Martin Krumich,60%,1.61,50%,0.5,0.6,10,5,1.61,Viktor Durasovic,Mens,Fav
1615,Cem Ilkel,Vitaliy Sachko,80%,1.77,60%,0.6,0.8,10,5,1.77,Cem Ilkel,Mens,Fav
1616,Hamad Medjedovic,Filip Horansky,50%,1.56,20%,0.2,0.5,10,8,1.56,Hamad Medjedovic,Mens,Fav
1617,Oleksii Krutykh,Henri Squire,50%,1.61,33%,0.3333333333333333,0.5,6,6,1.61,Oleksii Krutykh,Mens,Fav
1618,Andrew Paulson,Stefano Travaglia,60%,1.72,60%,0.6,0.6,10,5,1.72,Andrew Paulson,Mens,Fav
1619,Hoang Ly Nam,Yuichi Sugita,40%,1.39,60%,0.6,0.4,10,5,1.39,Hoang Ly Nam,Mens,Fav
1620,Strong Kirchheimer,Enzo Wallart,40%,1.67,50%,0.5,0.4,10,5,1.67,Strong Kirchheimer,Mens,Fav
1621,Alfredo Perez,Connor Farren,0%,1.31,70%,0.7,0.0,10,5,1.31,Alfredo Perez,Mens,Fav
1622,Maximilian Neuchrist,Kelsey Stevenson,0%,1.09,60%,0.6,0.0,10,5,1.09,Maximilian Neuchrist,Mens,Fav
1623,Kenny De Schepper,Kenny De Schepper,57%,2.1,50%,0.5,0.5714285714285714,10,7,1.66,Matteo Martineau,Mens,Dog
1624,Valentin Royer,Alexis Gautier,40%,1.52,70%,0.7,0.4,10,5,1.52,Valentin Royer,Mens,Fav
1625,Antoine Hoang,Marko Topo,20%,1.7,40%,0.4,0.2,10,5,1.7,Antoine Hoang,Mens,Fav
1626,Arthur Cazaux,Yannick Mertens,20%,1.31,80%,0.8,0.2,10,5,1.31,Arthur Cazaux,Mens,Fav
1627,Alexandar Lazarov,Elliot Benchetrit,50%,1.28,64%,0.6363636363636364,0.5,11,6,1.28,Alexandar Lazarov,Mens,Fav
1628,Iga Swiatek,Cori Gauff,48%,1.14,78%,0.78,0.48148148148148145,50,27,1.14,Iga Swiatek,Womens,Fav
1629,Caroline Garcia,Daria Kasatkina,45%,1.65,44%,0.4444444444444444,0.45161290322580644,27,31,1.65,Caroline Garcia,Womens,Fav
1630,Caty Mcnally,Peyton Stearns,20%,1.31,70%,0.7,0.2,10,5,1.31,Caty Mcnally,Womens,Fav
1631,Anna Lena Friedsam,Anna Lena Friedsam,56%,2.6,62%,0.6153846153846154,0.5555555555555556,13,9,1.48,Ann Li,Womens,Dog
1632,Makoto Ochi,Savriyan Danilov,40%,1.48,45%,0.45454545454545453,0.4,11,5,1.48,Makoto Ochi,Mens,Fav
1633,Holger Rune,Holger Rune,58%,4.14,87%,0.8695652173913043,0.5769230769230769,23,26,1.25,Novak Djokovic,Mens,Dog
1634,Sung Nam Ji,Jonathan Mridha,40%,1.35,44%,0.4444444444444444,0.4,9,5,1.35,Sung Nam Ji,Mens,Fav
1635,Novak Djokovic,Stefanos Tsitsipas,66%,1.2,86%,0.8636363636363636,0.6590909090909091,22,44,1.2,Novak Djokovic,Mens,Fav
1636,Ben Shelton,Paul Jubb,38%,1.23,69%,0.6875,0.375,16,8,1.23,Ben Shelton,Mens,Fav
1637,Hsiou Hsu Yu,Hsiou Hsu Yu,67%,2.09,64%,0.6363636363636364,0.6666666666666666,11,6,1.7,Marc Polmans,Mens,Dog
1638,Christopher Oconnell,Yosuke Watanuki,44%,1.46,54%,0.5384615384615384,0.4444444444444444,13,9,1.46,Christopher Oconnell,Mens,Fav
1639,Otto Virtanen,Otto Virtanen,60%,2.2,60%,0.6,0.6,10,5,1.63,Nuno Borges,Mens,Dog
1640,Jan Lennard Struff,Jurij Rodionov,59%,1.45,42%,0.4166666666666667,0.5882352941176471,12,17,1.45,Jan Lennard Struff,Mens,Fav
1641,Oleksii Krutykh,Oleksii Krutykh,20%,1.94,36%,0.36363636363636365,0.2,11,5,1.78,Mats Rosenkranz,Mens,Dog
1642,Christopher Eubanks,Emilio Nava,50%,1.82,73%,0.7272727272727273,0.5,22,20,1.82,Christopher Eubanks,Mens,Fav
1643,Andrew Paulson,Andrew Paulson,60%,1.86,70%,0.7,0.6,10,5,1.83,Evgeny Karlovskiy,Mens,Dog
1644,Illya Marchenko,Duje Ajdukovic,80%,1.66,50%,0.5,0.8,10,5,1.66,Illya Marchenko,Mens,Fav
1645,Karl Friberg,Karl Friberg,60%,2.11,55%,0.5454545454545454,0.6,11,5,1.66,Benjamin Hassan,Mens,Dog
1646,Yuta Shimizu,Yusuke Takahashi,20%,1.3,50%,0.5,0.2,10,5,1.3,Yuta Shimizu,Mens,Fav
1647,Cem Ilkel,Denis Istomin,50%,1.32,83%,0.8333333333333334,0.5,12,8,1.32,Cem Ilkel,Mens,Fav
1648,Yosuke Watanuki,Nino Serdarusic,50%,1.34,36%,0.36363636363636365,0.5,11,6,1.34,Yosuke Watanuki,Mens,Fav
1649,Ann Li,Nao Hibino,50%,1.53,56%,0.5625,0.5,16,18,1.53,Ann Li,Womens,Fav
1650,Peyton Stearns,Katherine Sebov,40%,1.59,40%,0.4,0.4,10,5,1.59,Peyton Stearns,Womens,Fav
1651,Anna Lena Friedsam,Anna Lena Friedsam,33%,2.68,70%,0.7,0.3333333333333333,10,12,1.45,Camila Osorio,Womens,Dog
1652,Caty Mcnally,Sofia Kenin,20%,1.76,70%,0.7,0.2,10,5,1.76,Caty Mcnally,Womens,Fav
1653,Aryna Sabalenka,Aryna Sabalenka,48%,2.03,68%,0.6756756756756757,0.4827586206896552,37,29,1.81,Jessica Pegula,Womens,Dog
1654,Maria Sakkari,Maria Sakkari,53%,2.18,55%,0.5517241379310345,0.5263157894736842,29,38,1.69,Ons Jabeur,Womens,Dog
1655,Nuno Borges,Andrea Vavassori,56%,1.71,70%,0.7,0.5555555555555556,20,9,1.71,Nuno Borges,Mens,Fav
1656,Christopher Oconnell,Sho Shimabukuro,40%,1.39,70%,0.7,0.4,10,5,1.39,Christopher Oconnell,Mens,Fav
1657,Otto Virtanen,Otto Virtanen,40%,2.91,73%,0.7272727272727273,0.4,11,5,1.38,Dominic Stricker,Mens,Dog
1658,Hsiou Hsu Yu,Hsiou Hsu Yu,60%,2.68,73%,0.7272727272727273,0.6,11,5,1.44,Max Purcell,Mens,Dog
1659,Christopher Eubanks,Juncheng Shang,58%,1.45,68%,0.6842105263157895,0.5833333333333334,19,12,1.45,Christopher Eubanks,Mens,Fav
1660,Emilio Nava,Emilio Nava,41%,1.92,58%,0.5789473684210527,0.4117647058823529,19,17,1.82,Denis Kudla,Mens,Dog
1661,Paul Jubb,Inaki Montes De La Torre,60%,1.51,70%,0.7,0.6,10,5,1.51,Paul Jubb,Mens,Fav
1662,Holger Rune,Holger Rune,55%,2.85,78%,0.7777777777777778,0.5454545454545454,36,22,1.44,Carlos Alcaraz,Mens,Dog
1663,Novak Djokovic,Lorenzo Musetti,35%,1.11,86%,0.8636363636363636,0.35294117647058826,22,17,1.11,Novak Djokovic,Mens,Fav
1664,Stefanos Tsitsipas,Tommy Paul,49%,1.39,67%,0.673469387755102,0.4864864864864865,49,37,1.39,Stefanos Tsitsipas,Mens,Fav
1665,Holger Rune,Holger Rune,54%,2.74,65%,0.6470588235294118,0.5416666666666666,51,24,1.46,Felix Auger Aliassime,Mens,Dog
1666,Marc Polmans,Marek Gengel,80%,1.43,60%,0.6,0.8,10,5,1.43,Marc Polmans,Mens,Fav
1667,Sho Shimabukuro,Damir Dzumhur,57%,1.76,30%,0.3,0.5714285714285714,10,7,1.76,Sho Shimabukuro,Mens,Fav
1668,Jan Lennard Struff,Luca Nardi,45%,1.72,40%,0.4,0.45454545454545453,10,11,1.72,Jan Lennard Struff,Mens,Fav
1669,Matteo Arnaldi,Matteo Arnaldi,50%,1.89,61%,0.6086956521739131,0.5,23,8,1.84,Liam Broady,Mens,Dog
1670,Jurij Rodionov,Jurij Rodionov,33%,1.94,50%,0.5,0.3333333333333333,10,15,1.8,Yannick Hanfmann,Mens,Dog
1671,Matteo Arnaldi,Matteo Arnaldi,38%,2.38,36%,0.36363636363636365,0.375,11,8,1.54,Jan Lennard Struff,Mens,Dog
1672,Iga Swiatek,Caroline Garcia,44%,1.28,78%,0.7755102040816326,0.44,49,25,1.28,Iga Swiatek,Womens,Fav
1673,Katherine Sebov,Katherine Sebov,20%,2.97,60%,0.6,0.2,10,5,1.37,Lin Zhu,Womens,Dog
1674,Daria Kasatkina,Daria Kasatkina,43%,2.15,50%,0.5,0.43333333333333335,26,30,1.72,Cori Gauff,Womens,Dog
1675,Peyton Stearns,Ashlyn Krueger,60%,1.87,30%,0.3,0.6,10,5,1.87,Peyton Stearns,Womens,Fav
1676,Camila Osorio,Elizabeth Mandlik,40%,1.68,50%,0.5,0.4,10,5,1.68,Camila Osorio,Womens,Fav
1677,Nao Hibino,Robin Anderson,50%,1.55,50%,0.5,0.5,16,6,1.55,Nao Hibino,Womens,Fav
1678,Anna Lena Friedsam,Sachia Vickery,40%,1.84,40%,0.4,0.4,10,5,1.84,Anna Lena Friedsam,Womens,Fav
1679,Yosuke Watanuki,Kaichi Uchida,40%,1.51,50%,0.5,0.4,14,10,1.51,Yosuke Watanuki,Mens,Fav
1680,Nino Serdarusic,Nino Serdarusic,0%,3.55,82%,0.8181818181818182,0.0,11,7,1.27,John Millman,Mens,Dog
1681,Denis Kudla,Ulises Blanch,29%,1.33,90%,0.9,0.2857142857142857,10,7,1.33,Denis Kudla,Mens,Fav
1682,Novak Djokovic,Karen Khachanov,46%,1.09,86%,0.8571428571428571,0.4594594594594595,21,37,1.09,Novak Djokovic,Mens,Fav
1683,Tommy Paul,Tommy Paul,50%,2.17,62%,0.625,0.5,40,40,1.69,Pablo Carreno Busta,Mens,Dog
1684,Frances Tiafoe,Frances Tiafoe,59%,2.84,66%,0.66,0.5853658536585366,50,41,1.44,Felix Auger Aliassime,Mens,Dog
1685,Carlos Alcaraz,Holger Rune,57%,1.45,77%,0.7714285714285715,0.5714285714285714,35,21,1.45,Carlos Alcaraz,Mens,Fav
1686,Emilio Nava,Facundo Mena,40%,1.37,42%,0.4166666666666667,0.4,12,5,1.37,Emilio Nava,Mens,Fav
1687,Stefanos Tsitsipas,Corentin Moutet,45%,1.17,74%,0.7380952380952381,0.45454545454545453,42,11,1.17,Stefanos Tsitsipas,Mens,Fav
1688,Ben Shelton,Brandon Holt,62%,1.47,67%,0.6666666666666666,0.625,12,8,1.47,Ben Shelton,Mens,Fav
1689,Marc Polmans,Mark Whitehouse,40%,1.16,70%,0.7,0.4,10,5,1.16,Marc Polmans,Mens,Fav
1690,Max Purcell,Tristan Schoolkate,20%,1.28,82%,0.8181818181818182,0.2,11,5,1.28,Max Purcell,Mens,Fav
1691,Hsiou Hsu Yu,James McCabe,20%,1.74,67%,0.6666666666666666,0.2,6,5,1.74,Hsiou Hsu Yu,Mens,Fav
